RECORD ID NUMBER,INPUT ADDRESS ,TIGER ADDRESS RANGE MATCH INDICATOR,TIGER MATCH TYPE,TIGER OUTPUT ADDRESS,LONGITUDE ,LATITUDE,TIGERLINE ID,TIGERLINE ID SIDE,STATE CODE,COUNTY CODE,TRACT CODE,BLOCK CODE
Alhambra AJCC,"2550 W. Main Street, Suite 101, Alhambra, 91801",Match,Non_Exact,"2550 W MAIN ST, ALHAMBRA, CA, 91801",-118.1514486,34.09512161,141635460,L,06,037,480803,2001
Wilshire Branch Library,"149 N. Saint Andrews Pl, Los Angeles, 90004",Match,Non_Exact,"149 N ST ANDREWS PL, LOS ANGELES, CA, 90004",-118.3114331,34.0738137,141603122,L,06,037,211500,1008
Culver City Senior Center,"4095 Overland Avenue, Culver City, 90232",Match,Non_Exact,"4095 OVERLAND AVE, CULVER CITY, CA, 90232",-118.4029196,34.01418803,142678664,R,06,037,702801,3008
Rancho Dominguez AJCC (MCS),"2909 E. Pacific Commerce Drive, Compton, 90221",Match,Non_Exact,"2909 E PACIFIC COMMERCE DR, COMPTON, CA, 90221",-118.2082354,33.84972746,142654664,R,06,037,543305,1053
Pio Pico - Koreatown Branch Library,"694 S. Oxford Avenue, Los Angeles, 90005",Match,Non_Exact,"694 S OXFORD AVE, LOS ANGELES, CA, 90005",-118.3077585,34.05981155,653164933,L,06,037,212502,1002
El Sereno Branch Library,"5226 S. Huntington Drive, Los Angeles, 90032",Match,Non_Exact,"5226 HUNTINGTON DR S, LOS ANGELES, CA, 90032",-118.1693795,34.08933371,624683355,R,06,037,201501,3003
Alma Reaves Woods - Watts Branch Library,"10205 Compton Avenue, Los Angeles, 90002",Match,Non_Exact,"10205 COMPTON AVE, LOS ANGELES, CA, 90002",-118.2463094,33.94416639,141674066,R,06,037,242300,3007
Studio City Branch Library,"12511 Moorpark Street, Studio City, 91604",Match,Non_Exact,"12511 MOORPARK ST, STUDIO CITY, CA, 91604",-118.4053653,34.15041744,141565392,R,06,037,143401,1011
Baldwin Park Library ,"4181 Baldwin Park Blvd., Baldwin Park, 91706",Match,Non_Exact,"4181 BALDWIN PARK BLVD, BALDWIN PARK, CA, 91706",-117.9649115,34.08785571,141795759,L,06,037,405102,2007
Chinatown Branch Library,"639 N. Hill Street, Los Angeles, 90012",Match,Non_Exact,"639 N HILL ST, LOS ANGELES, CA, 90012",-118.2410825,34.05982616,241132800,L,06,037,207102,1006
Malibu Library,"23519 W Civic Center Way, Malibu , 90265",Match,Non_Exact,"23519 CIVIC CENTER WAY, MALIBU, CA, 90265",-118.6932791,34.03527375,241110259,L,06,037,800504,1014
