TRACT,TRACTFIPS,HWAV_EVNTS,HWAV_RISKV,HWAV_RISKS,HWAV_RISKR
11700,6053011700,0.9203265855,109.1931455,16.24173524,Very Low
11801,6053011801,0.999999512,39.07661178,15.93255006,Very Low
11802,6053011802,0.800331873,36.28433078,15.92303667,Very Low
11901,6053011901,0.9039255391,51.79431011,15.9896304,Very Low
11902,6053011902,0.8019926062,37.54958518,15.9266042,Very Low
12000,6053012000,1,128.857656,16.32378823,Very Low
12100,6053012100,1,71.08578099,16.06335918,Very Low
12200,6053012200,1,87.49533229,16.15016886,Very Low
12302,6053012302,1,48.49469254,15.97654949,Very Low
12401,6053012401,0.5851472109,59.50116301,16.0217381,Very Low
12402,6053012402,0.7488679417,95.14957487,16.17751986,Very Low
12503,6053012503,1,72.31056087,16.06811587,Very Low
12504,6053012504,0.6368946091,90.2879641,16.15849308,Very Low
12601,6053012601,0.9688843935,75.09627955,16.08238596,Very Low
12700,6053012700,0.7605516939,117.1791524,16.27503211,Very Low
12800,6053012800,1,159.4570138,16.4700566,Very Low
13000,6053013000,0.9232091097,111.1037579,16.25243781,Very Low
13100,6053013100,1,34.34612598,15.91233411,Very Low
13200,6053013200,5.516270445,478.8824678,18.18008847,Relatively Low
13300,6053013300,0.9570143713,211.5166021,16.74475574,Very Low
13400,6053013400,1,41.08856493,15.93492841,Very Low
13500,6053013500,1,175.4142231,16.54973125,Very Low
13600,6053013600,1,215.1906005,16.76259335,Very Low
13700,6053013700,1,254.2368771,16.95167198,Very Low
13800,6053013800,1,216.1292488,16.76735005,Very Low
13900,6053013900,1,102.4879791,16.20962755,Very Low
14000,6053014000,0.8791459172,133.2028266,16.34043666,Very Low
14102,6053014102,1,196.1939155,16.66627028,Very Low
14104,6053014104,1,122.5270815,16.29762641,Very Low
14105,6053014105,1,120.3731727,16.29168054,Very Low
14108,6053014108,0.894561124,201.6084415,16.69599962,Very Low
14109,6053014109,1.031306595,133.5599883,16.34400419,Very Low
14110,6053014110,16.41025177,1444.251659,24.73838177,Relatively Low
14201,6053014201,1,224.5141621,16.80540361,Very Low
14202,6053014202,1,187.7807007,16.61870332,Very Low
14301,6053014301,0.9096195484,196.5968158,16.6698378,Very Low
14302,6053014302,1,377.2991047,17.57123151,Very Low
14500,6053014500,9,5171.90306,40.37958426,Relatively Low
14601,6053014601,0.9337904148,784.3056897,20.29681777,Relatively Low
14700,6053014700,1.017635499,399.2855292,17.67468963,Very Low
14800,6053014800,17.97781562,48833.21453,82.38476906,Relatively High
980000,6053980000,9,589.7330941,18.89240356,Relatively Low
200201,6055200201,15,4296.96482,37.56124245,Relatively Low
200202,6055200202,15,3188.385593,33.38605337,Relatively Low
200203,6055200203,15,2732.793255,31.35256624,Relatively Low
200301,6055200301,15,8431.08141,48.4909385,Relatively Low
200302,6055200302,15,2604.808507,30.80435713,Relatively Low
200400,6055200400,15,3289.557553,33.7927508,Relatively Low
200501,6055200501,15,7655.636753,46.85344623,Relatively Low
200503,6055200503,15,2801.387916,31.66531894,Relatively Low
200504,6055200504,15,9359.168347,50.30205014,Relatively Moderate
200505,6055200505,15,3561.660448,34.86895305,Relatively Low
200601,6055200601,15,5359.676727,40.92065833,Relatively Low
200602,6055200602,15,6514.318746,44.13023831,Relatively Low
200703,6055200703,15,1983.616544,27.84093612,Relatively Low
200704,6055200704,15,6058.61098,42.9113352,Relatively Low
200705,6055200705,15,3365.782758,34.10907102,Relatively Low
200706,6055200706,15,2582.611891,30.70327736,Relatively Low
200707,6055200707,15,3293.614114,33.8105884,Relatively Low
200802,6055200802,15,8233.807537,48.09137611,Relatively Low
200803,6055200803,15,2475.875748,30.22879703,Relatively Low
200804,6055200804,15,7040.360461,45.40146506,Relatively Low
200900,6055200900,15,96.54977222,16.18346573,Very Low
201003,6055201003,16.72042758,5871.870771,42.41426057,Relatively Low
201004,6055201004,7.011459284,4310.995272,37.62070114,Relatively Low
201005,6055201005,12.08455664,3758.143104,35.62407839,Relatively Low
201006,6055201006,15,3470.252023,34.51457927,Relatively Low
201007,6055201007,9.676065874,2659.841959,31.04575941,Relatively Low
201101,6055201101,15,1419.875603,24.58497836,Relatively Low
