GEOID,heatrisk_class,Tree Canopy Class
06037221303,0,0
06037213202,1,0
06037213202,1,0
06037217200,1,1
06037217200,1,1
06037217200,1,0
06037217200,1,1
06037212900,1,1
06037212900,1,0
06037213100,0,1
06037213100,0,2
06037531201,2,0
06037531101,4,0
06037531101,4,0
06037531101,4,0
06037531101,4,0
06037530901,3,1
06037530901,3,0
06037204420,1,1
06037204420,1,0
06037203800,4,1
06037203800,4,1
06037203800,4,0
06037203800,4,0
06037204410,0,0
06037204410,0,0
06037203720,1,0
06037203720,1,0
06037203720,1,0
06037213310,1,0
06037213310,1,0
06037209300,2,0
06037209300,2,0
06037213320,0,0
06037213320,0,0
06037207502,1,1
06037209510,1,0
06037209510,1,0
06037209403,1,0
06037209403,1,0
06037213401,1,0
06037213401,1,1
06037209402,1,0
06037209402,1,0
06037203710,2,0
06037203710,2,0
06037203200,4,1
06037203200,4,1
06037203500,1,1
06037203500,1,0
06037203500,1,0
06037207400,0,1
06037530801,4,1
06037530801,4,1
06037482001,2,1
06037530700,2,0
06037212306,1,0
06037212306,1,0
06037212202,1,0
06037212202,1,0
06037208902,0,0
06037208902,0,0
06037207501,0,2
06037209401,1,0
06037209401,1,0
06037209103,1,0
06037209104,0,1
06037208903,1,0
06037208903,1,0
06037208904,1,0
06037208904,1,0
06037212304,0,0
06037212203,1,0
06037212203,1,0
06037212303,1,0
06037212204,1,0
06037212204,1,0
06037208801,1,3
06037208801,1,1
06037208802,1,1
06037208802,1,2
06037208301,0,1
06037206020,1,0
06037207102,1,0
06037203100,4,0
06037203100,4,2
06037203100,4,0
06037203300,1,0
06037207101,1,0
06037199900,1,0
06037199900,1,0
06037207103,0,0
06037207103,0,0
06037199700,1,0
06037199700,1,0
06037197600,0,2
06037197600,0,1
06037197700,1,1
06037197700,1,1
06037197700,1,0
06037267902,0,2
06037267902,0,2
06037267902,0,2
06037267403,0,1
06037267403,0,0
06037212800,1,1
06037212800,1,1
06037212800,1,1
06037213201,1,0
06037213201,1,0
06037213201,1,0
06037212701,0,1
06037212501,0,1
06037212420,1,1
06037212420,1,0
06037212305,0,0
06037212620,1,2
06037212620,1,0
06037216100,0,3
06037216100,0,2
06037216100,0,2
06037212702,0,2
06037212702,0,2
06037212702,0,3
06037264103,0,1
06037265601,0,1
06037265601,0,2
06037264000,0,4
06037264000,0,3
06037264000,0,3
06037264102,0,3
06037265602,0,2
06037265602,0,2
06037216800,0,1
06037216800,0,2
06037216800,0,2
06037216800,0,2
06037216401,1,0
06037216401,1,1
06037267901,0,1
06037267901,0,3
06037701000,1,2
06037701000,1,2
06037701000,1,1
06037216402,0,1
06037216402,0,1
06037700902,1,2
06037700902,1,2
06037700901,0,2
06037700901,0,1
06037700901,0,1
06037212502,1,0
06037212502,1,0
06037212410,1,1
06037212410,1,0
06037212610,1,1
06037212610,1,1
06037211802,1,0
06037211802,1,0
06037212102,0,1
06037212102,0,0
06037211704,0,0
06037211704,0,0
06037215102,0,0
06037215102,0,0
06037211701,0,2
06037211701,0,3
06037211701,0,2
06037265410,0,3
06037265410,0,3
06037262303,0,4
06037262303,0,4
06037262303,0,4
06037265201,0,3
06037265201,0,2
06037265303,0,2
06037265303,0,2
06037265304,1,2
06037265304,1,2
06037265420,0,3
06037265420,0,3
06037211703,1,0
06037211703,1,0
06037211804,1,0
06037211804,1,0
06037211803,1,0
06037211803,1,1
06037211910,1,0
06037211910,1,0
06037211910,1,0
06037211000,1,3
06037211000,1,1
06037211000,1,3
06037211000,1,3
06037211000,1,3
06037211000,1,3
06037211310,1,0
06037211310,1,0
06037211500,1,2
06037211500,1,3
06037211500,1,2
06037211410,1,0
06037211410,1,0
06037211420,1,1
06037211420,1,0
